1000 square meter	mål(et)
deductible	fradragsberettiget
deed of property	skjøte(t)
deep	dyp
deep	dyp(et)
deer	hjort(en)
defeat	nederlag(et)
defect	"feil(en), mangel(en)"
defence	forsvar(et)
definition of word	ordforklaring(en)
deformed	vanskapt
degree from high school	eksamen artium
deliver[s]	levere[r]
delivered	leverte
demarcation	avgrensning(en)
demand[s]	"forlange[r], kreve[r]"
demanded	"forlangte, krevde"
demise	"avgang(en), bortgang(en)"
demolish[es]	rive[r]
Denmark	Danmark
denounce[s]	"angi[r], sladre[r]"
denounciation	angiveri(et)
dense	tett
dent	bulk(en)
dental mechanic	tanntekniker(en)
dentist	tannlege(n)
[deny|denies|denied]	"benekte[r|t], nekte[r|t], avslå[r|tt][avslo]"
depart[s|ed]	"dra[r|tt], avgå[r|tt]"
departed	dro
department	byrå(et)
department manager	avdelingssjef(en)
departure	"avgang(en), avreise(n), avskjed(en)"
date of departure	avreisedato(en)
departure date	reisedato(en)
depth	dybde(n)
deputyship	vikariate(t)
descend[s]	dale[r]
descended	dalte
describe[s]	beskrive[r]
described	beskrevet
description	beskrivelse(n)
descend[s|ed]	stamme[r|t]
descendant	etterkommer(en)
deserted	øde
desire	"lyst(en), trang(en)"
desire[s|ed]	ønske[r|t]
desolate	øde
destination	reisemål(et)
destiny	skjebne(n)
destroy[s]	ødelegge[r]
determine[s]	fastslå[r]
development	utvikling(en)
devil	djevel(en)
the devil	fanden
devote[s]	hengi[r]
devoted	henga
devotion	hengivelse(n)
diagonal	diagonal
diameter	diameter(en)
diamond	diamant(en)
dictionary	ordbok(en)
did	gjorde
didactic	belærende
die[s|d]	"dø[r|de], omkom[mer|met]"
die[s|d] out	utdø[r|dd]
diet[s|ed] in order to get thinner	slanke[r|t]
difference	forskjell(en)
different	"forskjellig, forskjellige, annerledes"
difficult	stridt
difficult	vanskelig
difficulty	vanskelighet(en)
dig[s]	"grave[r], spa[r]"
diligence	flid(en)
diligent	flittig
diminish[es|ed]	forringe[r|t]
diner	kafé(en)
dinner	middag(en)
dip[s|ed]	dyppe[r|t]
diptheria	difteri
direct[s] (traffic)	dirigere[r]
directed (traffic)	dirigerte
direction	retning(en)
director	direktør(en)
director of social services	sosialsjef(en)
disabled	vanfør
disarmament	nedrustning(en)
disbursement	utlegg(et)
disc	plate(en)
discharge[s] from military service	dimmitere[r]
disciple	disippel(en)
disclaim[s]	frasi[er]
disclaimed	frasa
disease	sykdom(men)
dish	tallerken(en)
disinherited	arveløs
dismiss[es]	permittere[r]
dismiss[es]	henlegge[r]
dismissed	permittert
dismissed	henlagt
disorder	"uro(en), rot(et)"
disown[s]	frata[r]
disowned	fratok
dispensation	tillatelse(n)
display[s]	framvise[r]
displayed	framvist[e]
disposition	"gemytt(et), sinnelag(et)"
dispute	stridighet(en)
dissertation	avhandling(en)
dissolve[s]	oppløse[r]
dissolved	oppløst
distance	avstand(en)
distance learning	fjernundervisning(en)
distant	fjern
distant place on the horizon	blåne(n)
distillery	brenneri(et)
distinguished	anerkjent
distribution	fordeling(en)
distribution of probate estate	arveskifte(t)
distribution of probate estate	bodeling(en)
district	"distrikt(et), krets(en)"
District Governor	fylkesmann(en)
District Governor of Svalbard	sysselmann(en) på Svalbard
district stipendiary magistrate	sorenskriver(en)
disturb	forstyrre[r]
disturbance	uro(en)
divide[s]	dele[r]
divide[s|d] an estate	skifte[r|t]
divide[s] in two	halvvere[r]
divided	delt
divided in two	halvvert[e]
dividend	utbytte(t)
dividing	deling(en)
divination	spådom(men)
divine[s|d]	spå[r|dde]
diviner	"spåkone(n), spåmann(en)"
division of an estate	skifte(t)
divorce	skilsmisse(n)
divorce[s]	skille[r]
divorced	skilt
do	gjøre
does	gjøre
do[es]	utføre[r]
docker	sjauer(en)
dockworker	bryggearbeider(en)
doctrine	lære(n)
document	dokument(et)
dog	hund(en)
pack of dogs	hundeflokk(en)
team of dogs	hundespann(et)
doll	dukke(n)
domestic	huslig
domestic animal	husdyr(et)
domestic affairs	innenriks
domestic work	husgjerning(en)
domicile	"hjemsted(et), bopel(en)"
Dominican	dominikaner(en)
done	"gjort, utført"
donkey	esel(et)
donor	giver(en)
door	dør(en)
doubt	tvil(en)
dough	deig(en)
down	"ned, nede"
downstairs	nede
dowry	medgift(en)
drain[s|ed]	tappe[r|t]
dragon	drage(n)
dragonfly	øyenstikker(en)
dragoon	dragon(en)
drank	drakk
[draw|draws|drew]	tegne[r|t]
drawing	tegning(en)
drawnet	trekkegarn(et)
dreadful	fryktelig
dream	drøm(men)
dream[s]	drømme[r]
dress	"kjole(n), drakt(en)"
dress[es|ed]	kle[r|dde]
dried fish	"tørrfisk(en), klippfisk(en)"
drink	drikk(en)
drink[s]	drikke[r]
drive[s]	"kjøre[r], føre[r]"
driven	ført[e]
driver	"sjåfør(en), fører(en)"
driving wheel	styre(t)
drop	dråpe(n)
drop[s]	slippe[r]
drop[s]	sløyfe[r]
drool[s|ed]	sikle[r|t]
drought	tørke(n)
drove	kjørte
drown[s|ed]	drukne[r|t]
drug	"medisin(en), narkotika(et)"
drug store	apotek(et)
drummer	tambur(en)
drunk	drakk
drunk	"full, beruset"
dry	"tørr, tørt"
duck	and(en)
ducks	ender
dug	spadd[e]
duke	hertug(en)
dull	sløv
dullness	sløvhet(en)
dust	støv(et)
dutchy	hertugdømme(t)
duty	avgift(en)
dyer	farger(en)
dysentary	blodgang(en)
e.g. = for example	f.eks. = for eksempel
e-mail	e-post(en)
each	hver
each	enhver
each other	hverandre
eager	"ivrig, hissig"
ear	øre(t)
Earl	jarl(en)
earlier	tidligere
early	tidlig
earn[s]	tjene[r]
earned	tjente
earth	jord(en)
Earth	jorden
earth fault	jordfeil(en)
earth fault protection switch	jordfeilbryter(en)
earthing	jordning(en)
earthing block	jordningsblokk(en)
earthquake	jordskjelv(et)
east	øst
east side	østside(n)
Easter	påske(n)
eastern	østre
easy	"lett, enkel"
eat[s]	spise[r]
eat[s]	ete[r]
eccentric	sær
ecclesiastical	geistlig
economy	økonomi(en)
edge	rand(en)
editor	redaktør(en)
educate[s|d]	oppdra[r|dd]
education	utdannelse(n)
effect	"virkning(en), utslag(et)"
egg	egg(et)
egg yolk	eggeplomme(n)
eiderdown	dyne(n)
eight	åtte
eighteen	atten
eighteenth	attende
eighth	åttende
eightieth	åttiende
eighty	åtti
elastic band	strikk(en)
election	valg(et)
electric	elektrisk
electrical	elektrisk
electrical wire	ledning(en)
electrician	elektriker(en)
electricity	elektrisitet(en)
electron	elektron(et)
electronic	elektronisk
elegant	elegant
element	element(et)
elementary school	barneskole(n)
eleven	elleve
eleventh	ellevte
elf	"alv(en), fe(en)"
eliminate[s]	eliminere[r]
eliminated	eliminerte
elk	elg(en)
elm	alm(en)
email	epost(en)
embassy	ambassade(n)
embrace	favn(et)
embryo	foster(et)
emigrant	"emigrant(en), utvandrer(en)"
emigrant records	emigrantprotokoll(en)
emigrate[s]	"emigrere[r], utvandre[r]"
emigrate[s|d]	utflytte[r|t]
emigration	"emigrasjon(en), utvandring(en)"
emit[s] gas or vapour	ose[r]
emitted gas or vapour	oste
emphatic	utpreget
emphatically	ettertrykkelig
employ[s]	ansette[r]
employed	"sysselsatt, ansatt"
employee	"arbeidstaker(en), ansatt"
state employee	statsansatt
employer	arbeidsgiver(en)
employer	oppdragsgiver(en)
empty	tom
empty[s]	tømme[r]
enchanted	trollsk
enchanted forest	trollskog(en)
enclosed pasture	kulturbeite(t)
end	slutt(en)
end	ende(n)
end[s|ed]	slutte[r|t]
end[s]	ende[r]
ended	endte
endure[s]	"holde[r] ut, utholde[r], tåle[r]"
energetic	energisk
energy	energi(en)
engage[s]	"engasjere[r], ansette[r]"
engaged	"forlovet, trolovet"
engagement	"forlovelse(n), trolovelse(n)"
military engagement	trefning(en)
engine	"maskin(en), motor(en)"
engineer	"ingeniør(en), maskinist(en)"
England	England
English	engelsk
enjoy[s]	like[r]
enjoyed	likte
enjoy[s]	"kose[r], boltre[r]"
enjoyed	koste
enlist[s]	innrullere[r]
enlisted	innrullert
enough	nok
enterprise	foretaket(et)
entertain[s]	underholde[r]
entertainment	underholdining(en)
entice[s|d]	lokke[r|t]
entitled	berettiget
environment	miljø(et)
environment therapist	miljøterapeut(en)
environmentaly friendly	miljøvennlig
epic	episk
epic poem	epos(et)
epilepsy	epilepsi(en)
epilepsy	fallesyke(n)
equal	like
equally good	jevngod
equally large	jevnstor
equation	ligning(en)
equipment	utstyr(et)
erect[s]	reise[r]
errand boy	visergutt(en)
escape[s]	rømme[r]
escaped	rømte
escaped	bortrømt
establish[es]	etablere[r]
establish[es]	fastslå[r]
estate	"gods(et), bo(et)"
estate owner	godseier(en)
estimate	anslag(et)
etc.	etc.
etc. = et cetera	o.s.v. = og så videre
eternal	evig
eternity	evighet(en)
ether	eter(en)
ethnicity	etnisitet(en)
eulogy	lovtale(n)
even	jevn
even that ..	endog det ..
even though	selv om
evening	"kveld(en), aften(en)"
event	begivenhet(en)
every	hver
everybody	alle
everything	alt
evil	"ond, onde, ondt"
evil	ondskap(en)
exactly	nettopp
examin[s]	undersøke[r]
examination	eksamen
excavator	gravemaskin(en)
except	unntatt
exception	unntak(et)
excitement	spenning(en)
exciting	spennende
exchange	veksling(en)
exchange[s|d] money	veksle[r|t]
exchange[s|d]	bytte[r|t]
excomminicate[s]	bannlyse[r]
excuse	"unnskyldning(en), påskudd(et)"
excuse[s]	unnskylde[r]
execute[s]	utføre[r]
executed	utført[e]
exercise[s|d]	øve[r|t]
exercised	øvde
existing	bestående
exit	utgang(en)
exit[s]	avstige[r]
exiting	avstigning(en)
expel[s]	utvise[r]
expense	utlegg(et)
expensive	dyr
experience	opplevelse(n)
experience	erfaring(en)
explanation	forklaring(en)
exploit[s|ed]	utnytte[r|t]
expose[s|d]	blotte[r|t]
exposed	åpen
extend[s|ed]	forlenge[r|t]
exterior	utenpå
external gallery	sval(en)
extinct	utdødd
extra	ekstra
extreme	ekstrem
extreme powerty or state of danger	nød(en)
extremely	svært
eye	øye(t)
eyesight	syn(et)
fable	fabel(en)
face	ansikt(et)
fact	faktum(et)
facts	fakta
factory	"fabrikk(en), verk(et), bruk(et), bedrift(en)"
factory owner	verkseier(en)
factory worker	fabrikkarbeider(en)
factory worker	verksarbeidar(en)
fade[s]	svinne[r]
faded	svunnet
fair	"real, rettferdig"
fairly	nokså
fairy	"fe(en), alv(en)"
faith	tro(en)
faithful	trofast
fall	fall(et)
fall	høst(en)
fall[s]	falle[r]
the fallen	falne
family	familie(n)
family	"ætt(en), slekt(en)"
family branch	slektsgren(en)
family chronicle	slektsbok(en)
family coat of arms	slektsvåpen(et)
family history	slektshistorie(n)
family name	"familienavn(et), slektsnavn(et)"
fantastic	fantastisk
far	langt
far-sighted	vidsynt
farm	"gård(en), bondegård(en), gårsdbruk(et), småbruk(et)"
farm boy	bondegutt(en)
farm equipment	gårdsredskap(et)
farm engineer	landbrukstekniker(en)
farm girl	bondejente(en)
farm hand	gårdsgutt(en)
farm manager	gårdsbestyrer(en)
farm name	gårdsnavn(et)
farm occupant	gårdbeboer(en)
farm work	"gårdsarbeid(et), jordbruksarbeid(et)"
farm worker	"gårdsarbeider(en), jordbruksarbeider(en)"
farmer	"bonde(n), gårdbruker(en), jordbruker(en), småbruker(en)"
farmer's daughter	gårdmannsdatter(en)
farmer's estate	bondegods(et)
farmer's son	gårdbrukersønn(en)
farmer's son	gårdmannssønn(en)
farmer's widow	gårdmannsenke(n)
farmer's wife	gårdmannskone(n)
farmers	"bønder, gårdsfolk(et)"
farming	jordbruk(et)
farming area	jordbruksareal(et)
farmworker	jordarbeider(en)
fart	fjert(en)
fashion	mote(n)
fast	"fort, rask"
fast	faste(n)
fast[s|ed]	faste[r|t]
fat	fet
fat	"fett(et), smult(en)"
fatal	"drepende, skjebnesvanger"
fate	skjebne(n)
fateful	skjebnesvanger
father	far(en)
Father Christmas	julenisse(n)
father's brother	farbror(en)
father's family	farsslekt(en)
father's father	farfar(en)
father's mother	farmor(en)
father's sister	faster(en)
father-in-law	svigerfar(en)
father-in-law and mother-in-law	svigerforeldre(ne)
fathers	fedre(ne)
fathom[s|ed]	favne[r|t]
fault	skyld(en)
fear	frykt(en)
fearfulness	angst(en)
feast	gilde(t)
feather	fjær(en)
February	februar
fed up	lei
fee	avgift(en)
feeble	"svak, veik"
feeble minded	"åndssvak, åndsveik"
[feed|feeds|fed]	mate[r|t]
feedback	tilbakemelding(en)
feel[s]	føle[r]
feeling	"følelse(n), anelse(n)"
fell	falt
fellow	kar(en)
fellow being	medmenneske(t)
felt	filt(en)
felt	følt[e]
female	kvinne(n)
female gender	kvinnekjønn(et)
fence	gjerde(t)
ferry	ferge(n)
ferryman	fergemann(en)
fetch[es]	hente[r]
fetched	hentet
fetus	foster(et)
fever	feber(en)
few	få
fewer	færre
fiancee	forlovede(n)
fiddle	fele(n)
fiddler	spillemann(en)
field	"åker(en), jord(et), mark(en)"
fierce	arg
fifteen	femten
fifteenth	femtende
fiftieth	femtiende
fifth	femte
fifty	femti
fight	strid(en)
fight[s][fought]	kjempe[r|t]
figure	"figur(en), struktur(en)"
fill[s|ed]	fylle[r|t]
filling	fyll(et)
filling	plombe(n)
fin of fish	finne(n)
Fin from Finland	finne(n)
Finland	Finnland
Finnish	finsk
final	endelig
finally	tilsist
finally	endelig
find[s]	finne[r]
fine	fin
fine	bot(en)
fine[s]	bøtelegge[r]
fined	bøtelagt
finger	finger(en)
finger tip	fingerspiss(en)
fir tree	gran(en)
fire	"ild(en), bål(et), brann(en), fyr"
fire chief	brannmester(en)
fire insurance value	branntakst(en)
fireman	brannmann(en)
fireplace	peis(en)
firewood	ved(en)
first	først
first	fremst
first name	fornavn(et)
fish	fisk(en)
fish farming	havbruk(et)
fish hook	fiskekrok(en)
fisherman	fisker(en)
fishermen's shed	rorbu(en)
fishery	"fiskeri(et), havbruk(et)"
fishing boat	sjekte(n)
fishing line	line(n)
fishmonger	fiskehandler(en)
fist	neve(n)
fitter	montør(en)
fitting	armatur(en)
five	fem
fixed	"fast, bestemt"
fjord	fjord(en)
fjord	vik(en)
fjord	våg(en)
flag	"flagg(et), fane(en)"
flag bearer in the army	fanejunker(en)
flash	lyn(et)
flash light	lommelykt(en)
flash[es|ed]	blotte[r|t]
flat	"flat, platt"
flat bread baker	fladbrødbager(en)
flew	fløy
flog[s|ed]	slå[r|tt]
floor	gulv(et)
floor	etasje(n)
flour	mel(et)
flow[s]	strømme[r]
flower	blomst(en)
flute	fløyte(n)
fly	flue(n)
[fly|flies]	fly[r]
foal	føll(et)
fodder	for(et)
fodder storage	lade(n)
fog	tåke(n)
fold[s|ed]	brette[r|t]
followed	fulgte
follow[s]	følge[r]
following	følgende
fond of	glad i
fondle[s]	beføle[r]
fondled	befølt[e]
food	"mat(en), føde(n)"
food storage	lade(n)
foot	fot(en)
footprint	fotavtrykk(et)
for	"for, til"
for one	blant annet
force	kraft(en)
forced labour	tvangsarbeide(t)
forces	krefter
forefathers	forfedre(ne)
foreign	"fremmed, ukjent"
foreign affairs	utenriks
foreign country	utlandet
foreigner	fremmed
foreman	formann(en)
foremost	fremst
forest	skog(en)
the forest	marka
forest bailiff	skogsfut(en)
forestry	skogsdrift(en)
forge	smie(n)
forget[s]	glemme[r]
forgive	tilgi
forgive[s]	forlate[r]
forgot	glemt
former	"forhenværende, forrige"
fornication	utukt(en)
fort	"fort(et), borg(en)"
fortress	festning(en)
fortify [fortifies|fortified]	befeste[r|t]
forward	"forover, fram, frem"
forward	spiss(en)
foster child	fosterbarn(et)
foster child	pleiebarn(et)
foster daughter	fosterdatter(en)
foster daughter	pleiedatter(en)
foster father	fosterfar(en)
foster father	pleiefar(en)
foster mother	fostermor(en)
foster mother	pleiemor(en)
foster parents	pleieforeldre(ne)
foster son	fostersønn(en)
foster son	pleiesønn(en)
foster[s|ed]	oppfostre[r|t]
foster[s|ed]	fostre[r|t]
foul	stygg
found	fant
found[s|ed]	stifte[r|t]
foundation	stiftelse(n)
founder	grunnlegger(et)
foundling	hittebarn(et)
foundry	støperi(et)
foundry	jernverk(et)
foundry worker	støperiarbeider(en)
fountain	fontene(n)
four	fire
fourteen	fjorten
fourteenth	fjortende
fourth	fjerde
fourtieth	førtiende
fourty	førti
fox	rev(en)
fraud	bedrageri(et)
freckle	fregne(n)
free	fri
free	gratis
free of dept	gjeldfri
free time	fritid(en)
freedom	frihet(en)
freehold	odel(en)
freehold farm	odelsgård(en)
freeholder	"selveier(en), odelsbonde(n)"
freight	frakt(en)
freeze[s]	fryse[r]
freeze-dr[y|ied]	frysetørke[r|t]
Friday	fredag
friend	venn(en)
friendly	vennlig
friendly and helpful	elskverdig
friendship	vennskap(et)
frieze	vadmel(en)
from	"fra, av"
from the begining	forfra
froth	skum(met)
froze	frøs
fruit	frukt(en)
fuck[s]	pule[r]
full	full
full of food	mett
full fat sour cream	seterrømme(n)
function[s]	fungere[r]
functioned	fungert[e]
functioning	istand
fun	moro(a|en)
fundamental	grunnleggende
funeral	"begravelse(n), bisettelse(n)"
funnel	trakt(en)
funny	"morsom, spøkefull"
fur	pels(en)
fur coat	pelskåpe(n)
furious	rasende
furnish[es|ed]	innrede[r|t]
furnishing	innredning(en)
furniture	møbel(et)
furniture maker	møbelsnekker(en)
furniture upholsterer	møbeltapetserer(en)
furrier	buntmaker(en)
further	videre
further	videregående
futile	forgjeves
future	"framtid(en), fremtid(en)"
future	fremtidig
gain	gevinst(en)
gallows	galge(n)
game	lek(en)
game	spill(et)
gang	gjeng(en)
gang foreman	baneformann(en)
gangrene	koldbrann(en)
gape[s]	gape[r]
garden	hage(n)
gardener	gartner(en)
garrison	garnison(en)
gas	gass(en)
gastric flu	omgangssyke(n)
gastric ulcer	magesår(et)
gastritis	magebetennelse(n)
gathering	stevne(t)
gave	ga
gaze	blikk(et)
gazoline	bensin(en)
powered by gazoline	bensindrevet
gear	gir(et)
gelatin	gelatin(et)
gender	kjønn(et)
general	"generell, almen"
general store	"kolonialbutikk(en), landhandel(en)"
general store owner	landhandler(en)
genealogy	slektsforskning(en)
general	general(en)
general major	generalmajor(en)
general staff	generalstab(en)
generation	generasjon(en)
gentleman	herre(n)
German	tysk
Germany	Tyskland
get[s]	"få[r], anskaffe[r]"
get[s] used to	venne[s]
get[s] up	reise[r]
ghost	"spøkelse(t), gjenferd(et), gjenganger(en), ånd(en)"
giant	"kjempe(n), rise(n)"
gift	"gave(n), pakke(n)"
gifted	begavet
giggle[s]	knise[r]
gilding	forgylling(en)
Gin-like liquour	aquavit(en)
ginger	ingefær(et)
gingerbread cookies	pepperkaker
girdle	belte(t)
girl	"jente(n), pike(n), pikebarn(et)"
give[s]	"gi[r], yte[r]"
give[s] birth	føde[r]
given	gitt
glacier	"bre(en), jøkel(en)"
glance[s|d]	kikke[r|t]
glass	glass(et)
glasses	brille(n)
glasswork	glassverk(et)
glide[s]	gli[r]
glory	herlighet(en)
glove	"hanske(n), vante(n)"
glove maker	hanskemaker(en)
glue	lim(et)
glue[s]	lime[r]
glued	limte
gnome	nisse(n)
go[s]	gå[r]
goal	mål(et)
goal	målsetting(en)
goat	"geit(en), bukk(en)"
goat cheese	geitost(en)
goat willow	selje(en)
goat willow flute	seljefløyte(n)
god	gud(en)
God	Gud
godfather	gudfar(en)
godmother	gudmor(en)
godparent	fadder(en)
gold	gull(et)
goldsmith	gullsmed(en)
golf	golf
golf course	golfbane(n)
gone	reist
got	fikk
got	fått
good	"god, godt, bra, flink"
Good Friday	langfredag(en)
good luck to you	lykke til
goodbye	"farvel, ha det"
goods	vare(n)
goose	"gås(en), gasse(n)"
gossip	sladder(et)
gouty	giktbrudden
government	regjering(en)
governor	stattholder(en)
grab[s]	gripe[r]
grace	bønn(en)
gracefull	yndig
gracious	nådig
grades	karakter(ene)
gradually	gradvis
graduate from university	akademiker(en)
grandchild	barnebarn(et)
grandfather	"bestefar(en), farfar(en), morfar(en)"
grandmother	"bestemor(en), farmor(en), mormor(en)"
grandparents	besteforeldre(ne)
grant	bevilgning(en)
grant[s|ed]	bevilge[r|t]
grant[s] leave	permittere[r]
granted leave	permittert
grasp	grep(et)
grass	gress(et)
grave	alvorlig
grave	grav(en)
grave digger	graver(en)
grave-mound	gravhaug(en)
gravel	grus(en)
gravestone	gravsten(en)
gray	grå
graybeard	gamling(en)
graybeard	gubbe(n)
graybeard	kall(en)
great	"stor, flott"
Great Britain	Storbritania
great-grandchild	"oldebarn(et), barnebarnsbarn(et)"
great-grandfather	oldefar(en)
great-grandmother	oldemor(en)
great-grandparents	oldeforeldre(ne)
great-great-grandfather	tippoldefar(en)
great-great-grandmother	tippoldemor(en)
great-great-grandparents	tippoldeforeldre(ne)
greed	grådighet(en)
greedy	grådig
green	grønn
greeting	hilsen(en)
greetings	hilsen
grenadier	grenader(en)
grew	vokste
griddle cake	lefse(n)
grin	glis(et)
grin[s]	glise[r]
grind[s]	"male[r], kverne[r]"
grinder	"mølle(n), kvern(en)"
groom	brudgom(men)
gross	brutto
gross property	bruttoformue(n)
groceries	dagligvarer
grocery	kolonialbutikk(en)
ground	grunn(en)
ground	"malt, malte"
growth	tilvekst(en)
grow[s]	vokse[r]
grumpy	"gretten, sur"
guard	vakt(en)
guardian	verge(n)
guardian	formynder(en)
guest	gjest(en)
guesthouse	vertshus(et)
guestroom	gjesterom(met)
guess[es|ed]	"gjette[r|t], tippe[r|t]"
guidance	oppfølging(en)
guide	"fører(en), leder(en)"
guiding star	ledestjerne(n)
guild	laug(et)
guilt	skyld(en)
guilty	skyldig
gully	sluk(et)
gun	gevær(et)
gun maker	bøssemaker(en)
gunner	artelerist(en)
gunpowder	krutt(et)
guy	fyr(en)
had	hadde
hail	haggel(et)
hair	hår(et)
hairdresser	frisør(en)
half	"halv, halvdel(en)"
half way	halvveis
half-brother	halvbror(en)
half-sibling(s)	halvsøsken
half-sister	halvsøster(en)
halibut	kveite(n)
hall	sal(en)
Halling Dance	halling(en)
hallway or hall	gang(en)
hamburger	"hamburger(en), medisterkake(n)"
hamlet	bygd(a|en)
hammer	hammer(en)
hand	"hånd(en), neve(n)"
hand[s] back	tilbakelevere[r]
handed back	tilbakelevert[e]
handeling	håndtering(en)
handicraft	håndverk(et)
handle[s|d]	behandle[r|t]
handsome	"vakker, vakre"
handwork	håndarbeide(t)
handwriting	håndskrift(en)
handy	kjekk
hang[s]	henge[r]
happen[s|ed]	skje[r|dde]
happen[s]	hende[r]
happened	hendt[e]
happiness	lykke(n)
happy	"glad, lykkelig, blid"
harbor	havn(en)
hard	"hard, beinhard"
hard roe	rogn(en)
Hardanger fiddle	hardingfele(n)
hardly	neppe
harmony	harmoni(en)
harsh	streng
harvest	avling(en)
the harvest time	skuronne(n)
haste	hastverk(et)
hat	hatt(en)
hate	hat(et)
hatmaker	hattemaker(en)
haunt[s]	spøke[r]
haunted	spøkt[e]
have	"ha, har"
having allodial right	odelsberettiget(en)
hay	høy(et)
hay mowing	slått(en)
haze	tåke(n)
the haying time	høyonne(n)
he	han
head	hode(t)
head clerk	"kontorfullmektig(en), fullmektig(en)"
head of household	husbonde(n)
head of the patrol	oppsynssjef(en)
head-land	"nes(et), odde(n), tange(n), skag(et)"
headline	overskrift(en)
headmaster	rektor(en)
heal	hæl(en)
heal[s|ed]	lege[r|t]
health	helse(n)
health service	helsetjeneste(n)
heamatology	hematologi(en)
heap	haug(en)
heap[s|ed]	lesse[r|t]
hear[s]	høre[r]
heart	hjerte(t)
heart attack	hjerteinfarkt(en)
heart disease	hjertefeil(en)
heartfailure	hjertesvikt(en)
heartdisease	hjertesykdom(men)
heat	hete(n)
heather	lyng(en)
heating	fyring(en)
heaven	himmel (himlen)
heavy	tung
heavy sea	sjøgang(en)
heel of a foot or shoe	hel(en)
heel of a loaf	skalk(en)
height	høyde(n)
heir	arving(en)
heirloom	arvestykke(t)
heirloom	arvegods(et)
held	"holdt, grep"
hell	helvete(t)
hello	hallo
help	hjelp(en)
help[s]	hjelpe[r]
helper	medhjelper(en)
helpful	behjelpelig
her	henne
here	her
hers	"hennes, sin, sitt"
herself	"seg, selv, sjøl"
herdsman	gjeter(en)
hero	helt(en)
heroic act	dåd(en)
herring	sild(en)
hi	hei
hide	hud(en)
hide and seek	gjemsel(en)
hide[s]	gjemme[r]
hidden	gjemt
high	høy
high	kikk(et)
high standard	standsmessig
hike	tur(en)
hiking road	turvei(en)
hill	bakke(n)
hill	"ås(en), haug(en)"
him	ham
himself	"seg, selv, sjøl"
hip	hofte(n)
hire	leie(n)
hire[s|d]	hyre[r|t]
hiring contract	hyrekontrakt(en)
his	"hans, sin, sitt"
history	historie(n)
hit[s]	"slå[r|tt], denge[r]"
hit	slo
hive	bikube(n)
hobble[s|d]	dilte[r|t]
hobby	fritidsinteresse(n)
hold	grep(et)
hold[s]	holde[r]
hole in the ice	råk(en)
holiday	helligdag(en)
holiday home	fritidsbolig(en)
hollow	hul
holy	"hellig, salig"
home	hjem
home	"hjem(met), heim(en)"
home craft	husflid(en)
home economics school	husmorskole(n)
homely	huslig
homespun	vadmel(en)
homestead	rud(en)
honest	ærlig
honesty	ærlighet(en)
honney	honning(en)
honour[s|ed]	hedre[r|t]
honourable	hederlig
honour	ære(n)
hook	krok(en)
hope	håp(et)
hope[s|d]	håpe[r|t]
horn	horn(et)
horrible	grusom
horse	hest(en)
team of horses	hestespann(et)
horse fly	klegg(en)
hospital	"sykehus(et), hospital(et)"
hospitality	gjestfrihet(en)
hostage	gissel(et)
hot	het
hot punch	gløgg(en)
hotel	hotell(et)
hotel booking	hotellbestilling(en)
hotel reservation	hotellreservasjon(en)
hotel standard	hotellstandard(en)
hour	time(n)
hour	klokke(n)
house	"hus(et), våningshus(et)"
house maid	stuepike(n)
house no	husnr(et)
house valuation	hustaksering(en)
house work	husarbeid(et)
household	hushold(et)
household	"husholdning(en), hustand(en)"
housekeeper	"husholder(en), husholderske(n)"
housekeeping	hushold(et)
housekeeping	husstell(et)
housemaid	hushjelp(en)
houseowner	huseier(en)
housewife	husmor(en)
housing	bolig(en)
how	"hvordan, hvorledes"
however	imidlertid
hug[s]	klemme[r]
hugged	klemt[e]
huh	hæ
human	menneskelig
human being	menneske(t)
humor	humor(en)
humorless joke	blødme(n)
hunch	anelse(n)
hundred	hundre
hung	"hang, hengt"
hunt	jakt(en)
hunt[s|ed]	jakte[r|t]
hunter	jeger(en)
hurrah	hurra
hurry	skynde
husband	"mann(en), ektemann(en)"
hymn	salme(n)
hymn book	salmebok(en)
hyssop	isop(et)
I	jeg
ice	is(en)
ice patches on a road	holke(n)
ice skate	skøyte(n)
Iceland	Island
Iceland moss	islandslav(en)
Icelandic	islandsk
if	"hvis, om, dersom"
ignorant	uvitende
ill	syk
illegal	ulovlig
illegitimate	uekte
illegitimate child	lausunge(n)
illness	sykdom(men)
imagine[s] falsely	innbilde[r]
imagined falsely	innbildt[e]
immediate	"umiddelbar, omgående"
immediately	straks
immigrant	"innvandrer(en), innflytter(en)"
immigrate[s]	imigrere[r]
immigrate[s|d]	innvandre[r|t]
immigration	innvandring(en)
immigration	innflytning(en)
immoral	umoralsk
important	viktig
impose[s]	pålegge[r]
imposed	pålagt
impression	inntrykk(et)
improper	uskikkelig
improve[s|d]	forbedre[r|t]
in	"i, inn, uti"
in front of	foran
in other words	d.v.s. = det vil si
inadvertently	uforvarende
inbreeding	innavl(en)
incapacitate	inhabil
incest	blodskam(men)
inch	tomme(en)
including	samt
income	inntekt(en)
increased	økt
indecent	usømmelig
indeed	riktignok
indeed not	neimen
index	"indeks(et), register(et)"
Indian	inder(en)
Indian	indisk
Indian ink	tusj(en)
indigent	almisselem(met)
individual	individ(et)
[is|was] indolent	somle[r|t]
indoors	"inne, innendørs"
indulgent	overbærende
industry	industri(en)
